EC,125,ESTRADA. CECILIO F.,people
EJ,126,ESTRADA. JOSE.,people
FA,127,FENOCHIO. ADOLFO,people
FP,128,FENOCHIO. PASCUAL,people
FA,129,FERNANDEZ. ALONSO,people
FJ,130,FERNANDEZ. JUSTINO,people
FS,131,FERNANDEZ. SERAPION,people
FJ,132,FERREL. JOSE,people
FA,133,FLORES. ADOLFO,people
FC,134,FLORES. CARLOS,people
FM,135,FLORES. MANUEL,people
FQ,136,FLORES QUIJAR. JUAN N.,people
FL,137,FORTUNO. LEONARDO F.,people
FS,138,FRXAS V SOTO. HILARION,people
CL,139,GALVAN. LUIS G.,people
GM,140,GALVAN. MANUEL,people
GJ,141,GAMBOA. JOSE ANTONIO,people
GM,142,GAMBOA. JOSE MARIA,people
GA,143,GARAY. ALFONSO,people
GC,144,GARCIA. ALBERTO,people
GD,145,GARCIA. DANIEL,people
GG,146,GARCIA. GENARO,people
GH,147,GARCIA HERAS. IGNACIO,people
GL,148,GARCIA. LORENZO,people
SC,149,GARCIA LUNA. LUIS,people
GM,150,GARCIA. MARGARITO,people
GR,151,GARCIA RAMIREZ. MANUEL,people
GC,152,GARCIA. ROBERTO,people
GT,153,GARCIA. TRINIDAD,people
GJ,154,GARDUNO. JUAN,people
GL,155,GARFIAS. LUIS G.,people
GS,156,GARFIAS SALINAS. MANUEL,people
GA,157,GARRIDO. ALEJANDRO,people
GR,158,GARRIDO. ALFREDO,people
GN,159,GARRIDO N. MANUEL,people
GC,160,GARZA CORTINA. CARLOS,people
GE,161,GARZA. EMETRIO DE LA (H),people
GR,162,GARZA RAMOS. JOSE M.,people
GF,164,GOCHICOA. FRANCISCO DE P.,people
GA,163,GAYOL. ROBERTO,people
SC,165,GOMEZ DEL CAMPO. IGNACIO,people
GO,166,GOLEZ. GILDARDO,people
CL,167,GOLEZ LUNA. CARLOS,people
GA,168,GONZALEZ. ANTONXO,people
CF,169,GONZALEZ. FERNANDO,people
GG,170,GONZALEZ GAVINO. ENRIQUE,people
GJ,171,GONZALEZ. JOSE G.,people
GL,172,GONZALEZ DE LEON. ALBERTO,people
GM,173,GONZALEZ. MANUEL (H),people
GO,174,GONZALEZ. MOISES R.,people
CL,175,GRAJALES. LUIS,people
GA,176,GUEDEA. ARCHIBALDO,people
GM,177,GUILLEN. MANUEL,people
GU,178,GUINCHARO. MIGUEL,people
GC,179,GUTIERREZ. CIRILO J.,people
GJ,180,GUTIERREZ. JUAN,people
HA,181,HEGEWISCH. ADOLFO,people
HE,182,HEGEWISCH. EVERARDO,people
HM,183,HERNANDEZ Y MARIN. JUAN,people
HF,184,HERNANDEZ. FIDENCIO,people
HL,185,HERNANDEZ. LUIS,people
HR,186,HERNANDEZ. RAFAEL,people
HM,187,HERRERA. MAURO S.,people
HL,188,HERRERA. MODESTO L.,people
HR,189,HERRERA. RAFAEL,people
